country,country_code,year,sector_level,sector_code,sector,gas,unit,emissions_value
Austria,AUT,2007,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,73864.05523
Austria,AUT,2007,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,1.19227
Austria,AUT,2007,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,13.01808
Austria,AUT,2007,total,Sectors/Totals_excl,Total (excl. LULUCF),NF3,Mt CO2 eq.,0.055593
Austria,AUT,2007,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.208738
Austria,AUT,2007,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.378274
Austria,AUT,2008,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,307.00608
Austria,AUT,2008,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,73280.27479
Austria,AUT,2008,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,1.24993
Austria,AUT,2008,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,13.58168
Austria,AUT,2008,total,Sectors/Totals_excl,Total (excl. LULUCF),NF3,Mt CO2 eq.,0.050052
Austria,AUT,2008,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.188519
Austria,AUT,2008,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.3849
Austria,AUT,2009,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,303.3237
Austria,AUT,2009,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,67128.16405
Austria,AUT,2009,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,1.344875
Austria,AUT,2009,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,12.82053
Austria,AUT,2009,total,Sectors/Totals_excl,Total (excl. LULUCF),NF3,Mt CO2 eq.,0.00425
